uuid,barcode
b813fa67-667a-46a1-87cd-e4b06b64f2b0,TCGA-BH-A0DK-11A-13D-A092-01
10b9ecba-dcb2-4f46-87ac-4cf5c7ee92f4,TCGA-A2-A4RX-01A-11D-A25N-01
7fa9ad2e-67a7-449f-be73-9e18dc46b529,TCGA-AO-A0J4-01A-11R-A034-07
e671ff07-4142-47d4-b05e-c45cbe66477b,TCGA-LQ-A4E4-10A-01D-A25N-01
6ac56724-34a7-4429-95bd-c93dbd491065,TCGA-BH-A0BP-10A-01D-A113-01
9b4eece5-d848-46d1-ae50-d5dac3df3218,TCGA-C8-A27B-10A-01D-A166-01
505360ed-000f-46b7-993e-a43095e123f2,TCGA-B6-A1KF-10A-01D-A13N-01
cf801232-8aa2-4ede-80b0-8c5b9876941b,TCGA-BH-A0HQ-01A-11R-A034-07
bc8e8656-278f-48e8-8e94-e7ecf953c7ec,TCGA-E2-A107-10A-01D-A894-36
4ec56a4e-a3ce-4511-a517-199e2a535b1a,TCGA-C8-A27B-01A-11R-A169-07
f1d8f354-d3ad-44fa-a51f-600cccd66689,TCGA-E2-A107-10A-01D-A10L-01
3a06927f-3f92-458a-a747-7ad110b51300,TCGA-AC-A23G-11A-12D-A20R-01
b8e6391d-a930-4177-abbd-5bab0774f72d,TCGA-AO-A129-10A-01D-A10L-01
782aa209-7e4b-44ff-a9b6-1f5b40045957,TCGA-A2-A0YG-01A-21D-A724-36
95f4620f-f9b0-4533-bb13-f412d774244a,TCGA-AR-A0TP-01A-11R-A084-07
d9408fdb-0eb4-4291-81f8-39af6db4d02f,TCGA-D8-A1X5-01A-11D-A898-36
14edb678-3b6c-4a58-aabf-0f9d1f7d9bdc,TCGA-BH-A0BP-01A-11R-A115-07
791d2ef4-7edd-488d-aa84-e63c9f1cf328,TCGA-E2-A1LG-11A-42D-A14J-01
a7942db7-925c-4b2d-a137-916b2a363149,TCGA-E2-A15O-01A-11D-A111-01
b3811c13-9e48-481e-b9e1-743a4fd6eedd,TCGA-AN-A03Y-10A-01D-A012-01
96c2777e-cb53-468a-86dc-62c417e0c585,TCGA-A2-A0SW-01A-11D-A744-36
577f1c62-e4db-4984-a3b9-6a12cef6138d,TCGA-S3-A6ZF-01A-32D-A32H-01
3cb6ce7b-9e5e-4fd2-a1f6-90a932a4b4ad,TCGA-AN-A0FV-01A-11D-A011-01
bbebfeb2-29c8-438e-8d7e-18da7f1bb593,TCGA-A2-A1FZ-01A-21D-A896-36
17b1f65d-76b7-4081-9a34-4ae6a78253ef,TCGA-AR-A1AQ-01A-11D-A896-36
c7019746-2fcf-4b4b-b7e5-025413e1014f,TCGA-A2-A0EU-01A-22R-A056-07
